Service attente;Gare;Trigramme
Work & Station;Le Raincy - Villemomble - Montfermeil;RVM
Work & Station;Cergy le Haut;CJV
Work & Station;Colombes;CBK
Work & Station;Cormeilles-en-Parisis;CPA
Work & Station;Ballancourt;BUR
Work & Station;Houdan;HOA
Work & Station;Les Vallées;LWA
Work & Station;Louveciennes;LFC
Piano en libre service;Gare de l'Est;PES
Work & Station;Noisy-le-Sec;NSY
Piano en libre service;Avignon Centre;AVI
Piano en libre service;Lyon Saint-Paul;LSP
Piano en libre service;Villefranche-sur-Saône;VIS
Piano en libre service;Cannes;CAN
Work & Station;Arpajon;ARP
Work & Station;Chaville - Vélizy;CHV
Rechargement portables et tablettes;Le Creusot - Montceau-les-Mines - Montchanin TGV;LCM
Piano en libre service;Gare d'Austerlitz;PAZ
Distributeur d'Histoires Courtes;Saint-Brieuc;SBC
Piano en libre service;Monaco;MCO
Piano en libre service;Nantes;NTS
Rechargement portables et tablettes;Nantes;NTS
Piano en libre service;Rennes;RES
Piano en libre service;Brest;BRT
Piano en libre service;Avignon TGV;AVV
Rechargement portables et tablettes;Aix-en-Provence TGV;AXV
Piano en libre service;Besançon Franche-Comté TGV;BFC
Piano en libre service;Reims;RMS
Rechargement portables et tablettes;Reims;RMS
Distributeur d'Histoires Courtes;Nîmes;NMS
Piano en libre service;Aéroport Charles de Gaulle 2 TGV;RYT
Rechargement portables et tablettes;Lens;LNS
Piano en libre service;Belfort - Montbéliard TGV;BFB
Distributeur d'Histoires Courtes;Le Mans;LEN
Piano en libre service;Le Mans;LEN
Rechargement portables et tablettes;Guingamp;GGP
Piano en libre service;Bellegarde;BGD
Distributeur d'Histoires Courtes;Brive-la-Gaillarde;BLG
Distributeur d'Histoires Courtes;Gare du Nord;PNO
Piano en libre service;Gare du Nord;PNO
Rechargement portables et tablettes;Versailles Chantiers;VCR
Rechargement portables et tablettes;La Barre Ormesson;LBJ
Rechargement portables et tablettes;Nevers;NVS
Rechargement portables et tablettes;Bordeaux Saint-Jean;BXJ
Rechargement portables et tablettes;Redon;RDN
Piano en libre service;Clermont-Ferrand;CLF
Piano en libre service;Gare de Paris Bercy Bourgogne - Pays d'Auvergne;PBY
Rechargement portables et tablettes;Vitry-sur-Seine;VYB
Rechargement portables et tablettes;Saint-Malo;SMP
Distributeur d'Histoires Courtes;Nîmes Pont-du-Gard;NIM
Rechargement portables et tablettes;Fontainebleau - Avon;FON
Rechargement portables et tablettes;Houilles - Carrières-sur-Seine;HAR
Work & Station;Brétigny;BYR
Piano en libre service;Poitiers;PST
Work & Station;Achères Ville;ACW
Rechargement portables et tablettes;Arras;ARR
Work & Station;Musée d'Orsay;MDS
Work & Station;Puteaux;PTX
Work & Station;Plaisir - Grignon;PGS
Work & Station;Ermont Halte;ERM
Work & Station;Esbly;EYA
Work & Station;Le Val d'Or;VDO
Piano en libre service;Lyon Perrache;LPR
Distributeur d'Histoires Courtes;Lyon Perrache;LPR
Piano en libre service;Les Sables-d'Olonne;LSO
Piano en libre service;Saint-Étienne Châteaucreux;SEN
Work & Station;Saint-Michel-sur-Orge;SHO
Rechargement portables et tablettes;Gare Montparnasse;PMP
Piano en libre service;Toulouse Matabiau;TSE
Work & Station;Stade de France Saint-Denis;SFD
Piano en libre service;Le Havre;LHA
