UIC;Nom de la gare;Adresse;CodePostal;Ville;Accessibilité
87313049;Longueau;Route de Boves;80330;Longueau;Toilettes adaptées aux personnes en fauteuil roulant
87313049;Longueau;Route de Boves;80330;Longueau;Écrans d'information en gare et/ou sur les quais
87313874;Amiens;47, place Alphonse Fiquet;80017;Amiens;Écrans d'information en gare et/ou sur les quais
87313874;Amiens;47, place Alphonse Fiquet;80017;Amiens;Fauteuil roulant à disposition
87313882;TGV Haute Picardie;Pôle Haute Picardie;80200;Peronne;Toilettes adaptées aux personnes en fauteuil roulant
87343004;Valenciennes;Place de la gare;59300;Valenciennes;Toilettes adaptées aux personnes en fauteuil roulant
87345009;Douai;Place de la Gare;59500;Douai;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87384008;Paris Saint-Lazare;13, Rue d'Amsterdam;75008;Paris;Fauteuil roulant à disposition
87391003;Paris Montparnasse;17, Boulevard de Vaugirard;75015;Paris Cedex 15;Bande d'éveil de vigilance sur les quais
87411017;Rouen Rive Droite;Place Bernard Tissot;76000;Rouen;Écrans d'information en gare et/ou sur les quais
87444539;Argentan;Place Pierre Sémard;61200;Argentan;Fauteuil roulant à disposition
87471003;Rennes;19, Place de la gare;35005;Rennes;Bande d'éveil de vigilance sur les quais
87476606;Vannes;rue Favel et Lincy;56000;Vannes;Présence du personnel
87478404;Laval;Place de la gare;53000;Laval;Accès par ascenseur, rampe ou de plain-pied, depuis l'entrée
87481002;Nantes;27, boulevard de Stalingrad;44041;Nantes cedex 1;Toilettes adaptées aux personnes en fauteuil roulant
87485300;Niort;place Sémard;79000;Niort;Toilettes adaptées aux personnes en fauteuil roulant
87571216;Vendôme - Villiers-sur-Loir;Avenue des Cités Unies de l'Europe;41100;Vendome;Fauteuil roulant à disposition
87575001;Poitiers;2 Boulevard Pont Achard;86000;Poitiers;Fauteuil roulant à disposition
87575001;Poitiers;2 Boulevard Pont Achard;86000;Poitiers;Toilettes adaptées aux personnes en fauteuil roulant
87584052;Libourne;72 avenue Gallieni;33500;Libourne;Présence du personnel
87611004;Toulouse Matabiau;;31500;64, Boulevard Pierre Sémard 31 079 Toulouse cedex;Information sonore en gare et/ou sur les quais
87611004;Toulouse Matabiau;;31500;64, Boulevard Pierre Sémard 31 079 Toulouse cedex;Toilettes adaptées aux personnes en fauteuil roulant
